Result;Matcher;Params
Matcher<Decl>;unresolvedUsingValueDecl;Matcher<UnresolvedUsingValueDecl>...
Matcher<Decl>;usingDecl;Matcher<UsingDecl>...
Matcher<Decl>;usingDirectiveDecl;Matcher<UsingDirectiveDecl>...
Matcher<Decl>;usingEnumDecl;Matcher<UsingEnumDecl>...
Matcher<Decl>;valueDecl;Matcher<ValueDecl>...
Matcher<Decl>;varDecl;Matcher<VarDecl>...
Matcher<LambdaCapture>;lambdaCapture;Matcher<LambdaCapture>...
Matcher<NestedNameSpecifierLoc>;nestedNameSpecifierLoc;Matcher<NestedNameSpecifierLoc>...
Matcher<NestedNameSpecifier>;nestedNameSpecifier;Matcher<NestedNameSpecifier>...
Matcher<OMPClause>;ompDefaultClause;Matcher<OMPDefaultClause>...
Matcher<QualType>;qualType;Matcher<QualType>...
Matcher<Stmt>;addrLabelExpr;Matcher<AddrLabelExpr>...
Matcher<Stmt>;arraySubscriptExpr;Matcher<ArraySubscriptExpr>...
Matcher<Stmt>;asmStmt;Matcher<AsmStmt>...
Matcher<Stmt>;atomicExpr;Matcher<AtomicExpr>...
Matcher<Stmt>;autoreleasePoolStmt;Matcher<ObjCAutoreleasePoolStmt>...
Matcher<Stmt>;binaryConditionalOperator;Matcher<BinaryConditionalOperator>...
Matcher<Stmt>;binaryOperator;Matcher<BinaryOperator>...
Matcher<Stmt>;blockExpr;Matcher<BlockExpr>...
Matcher<Stmt>;breakStmt;Matcher<BreakStmt>...
Matcher<Stmt>;cStyleCastExpr;Matcher<CStyleCastExpr>...
Matcher<Stmt>;callExpr;Matcher<CallExpr>...
Matcher<Stmt>;caseStmt;Matcher<CaseStmt>...
Matcher<Stmt>;castExpr;Matcher<CastExpr>...
Matcher<Stmt>;characterLiteral;Matcher<CharacterLiteral>...
Matcher<Stmt>;chooseExpr;Matcher<ChooseExpr>...
Matcher<Stmt>;coawaitExpr;Matcher<CoawaitExpr>...
Matcher<Stmt>;compoundLiteralExpr;Matcher<CompoundLiteralExpr>...
Matcher<Stmt>;compoundStmt;Matcher<CompoundStmt>...
Matcher<Stmt>;conditionalOperator;Matcher<ConditionalOperator>...
Matcher<Stmt>;constantExpr;Matcher<ConstantExpr>...
Matcher<Stmt>;continueStmt;Matcher<ContinueStmt>...
Matcher<Stmt>;coreturnStmt;Matcher<CoreturnStmt>...
Matcher<Stmt>;coyieldExpr;Matcher<CoyieldExpr>...
Matcher<Stmt>;cudaKernelCallExpr;Matcher<CUDAKernelCallExpr>...
Matcher<Stmt>;cxxBindTemporaryExpr;Matcher<CXXBindTemporaryExpr>...
Matcher<Stmt>;cxxBoolLiteral;Matcher<CXXBoolLiteralExpr>...
Matcher<Stmt>;cxxCatchStmt;Matcher<CXXCatchStmt>...
Matcher<Stmt>;cxxConstCastExpr;Matcher<CXXConstCastExpr>...
Matcher<Stmt>;cxxConstructExpr;Matcher<CXXConstructExpr>...
Matcher<Stmt>;cxxDefaultArgExpr;Matcher<CXXDefaultArgExpr>...
Matcher<Stmt>;cxxDeleteExpr;Matcher<CXXDeleteExpr>...
Matcher<Stmt>;cxxDependentScopeMemberExpr;Matcher<CXXDependentScopeMemberExpr>...
Matcher<Stmt>;cxxDynamicCastExpr;Matcher<CXXDynamicCastExpr>...
Matcher<Stmt>;cxxForRangeStmt;Matcher<CXXForRangeStmt>...
Matcher<Stmt>;cxxFunctionalCastExpr;Matcher<CXXFunctionalCastExpr>...
Matcher<Stmt>;cxxMemberCallExpr;Matcher<CXXMemberCallExpr>...
Matcher<Stmt>;cxxNewExpr;Matcher<CXXNewExpr>...
Matcher<Stmt>;cxxNoexceptExpr;Matcher<CXXNoexceptExpr>...
Matcher<Stmt>;cxxNullPtrLiteralExpr;Matcher<CXXNullPtrLiteralExpr>...
Matcher<Stmt>;cxxOperatorCallExpr;Matcher<CXXOperatorCallExpr>...
Matcher<Stmt>;cxxReinterpretCastExpr;Matcher<CXXReinterpretCastExpr>...
Matcher<Stmt>;cxxRewrittenBinaryOperator;Matcher<CXXRewrittenBinaryOperator>...
Matcher<Stmt>;cxxStaticCastExpr;Matcher<CXXStaticCastExpr>...
Matcher<Stmt>;cxxStdInitializerListExpr;Matcher<CXXStdInitializerListExpr>...
Matcher<Stmt>;cxxTemporaryObjectExpr;Matcher<CXXTemporaryObjectExpr>...
Matcher<Stmt>;cxxThisExpr;Matcher<CXXThisExpr>...
Matcher<Stmt>;cxxThrowExpr;Matcher<CXXThrowExpr>...
Matcher<Stmt>;cxxTryStmt;Matcher<CXXTryStmt>...
Matcher<Stmt>;cxxUnresolvedConstructExpr;Matcher<CXXUnresolvedConstructExpr>...
Matcher<Stmt>;declRefExpr;Matcher<DeclRefExpr>...
Matcher<Stmt>;declStmt;Matcher<DeclStmt>...
Matcher<Stmt>;defaultStmt;Matcher<DefaultStmt>...
Matcher<Stmt>;dependentCoawaitExpr;Matcher<DependentCoawaitExpr>...
Matcher<Stmt>;designatedInitExpr;Matcher<DesignatedInitExpr>...
Matcher<Stmt>;doStmt;Matcher<DoStmt>...
Matcher<Stmt>;explicitCastExpr;Matcher<ExplicitCastExpr>...
Matcher<Stmt>;expr;Matcher<Expr>...
Matcher<Stmt>;exprWithCleanups;Matcher<ExprWithCleanups>...
Matcher<Stmt>;fixedPointLiteral;Matcher<FixedPointLiteral>...
Matcher<Stmt>;floatLiteral;Matcher<FloatingLiteral>...
Matcher<Stmt>;forStmt;Matcher<ForStmt>...
Matcher<Stmt>;genericSelectionExpr;Matcher<GenericSelectionExpr>...
Matcher<Stmt>;gnuNullExpr;Matcher<GNUNullExpr>...
Matcher<Stmt>;gotoStmt;Matcher<GotoStmt>...
Matcher<Stmt>;ifStmt;Matcher<IfStmt>...
Matcher<Stmt>;imaginaryLiteral;Matcher<ImaginaryLiteral>...
Matcher<Stmt>;implicitCastExpr;Matcher<ImplicitCastExpr>...
Matcher<Stmt>;implicitValueInitExpr;Matcher<ImplicitValueInitExpr>...
Matcher<Stmt>;initListExpr;Matcher<InitListExpr>...
Matcher<Stmt>;integerLiteral;Matcher<IntegerLiteral>...
Matcher<Stmt>;labelStmt;Matcher<LabelStmt>...
Matcher<Stmt>;lambdaExpr;Matcher<LambdaExpr>...
Matcher<Stmt>;materializeTemporaryExpr;Matcher<MaterializeTemporaryExpr>...
Matcher<Stmt>;memberExpr;Matcher<MemberExpr>...
Matcher<Stmt>;nullStmt;Matcher<NullStmt>...
Matcher<Stmt>;objcCatchStmt;Matcher<ObjCAtCatchStmt>...
Matcher<Stmt>;objcFinallyStmt;Matcher<ObjCAtFinallyStmt>...
Matcher<Stmt>;objcIvarRefExpr;Matcher<ObjCIvarRefExpr>...
Matcher<Stmt>;objcMessageExpr;Matcher<ObjCMessageExpr>...
Matcher<Stmt>;objcStringLiteral;Matcher<ObjCStringLiteral>...
Matcher<Stmt>;objcThrowStmt;Matcher<ObjCAtThrowStmt>...
Matcher<Stmt>;objcTryStmt;Matcher<ObjCAtTryStmt>...
Matcher<Stmt>;ompExecutableDirective;Matcher<OMPExecutableDirective>...
Matcher<Stmt>;opaqueValueExpr;Matcher<OpaqueValueExpr>...
Matcher<Stmt>;parenExpr;Matcher<ParenExpr>...
Matcher<Stmt>;parenListExpr;Matcher<ParenListExpr>...
Matcher<Stmt>;predefinedExpr;Matcher<PredefinedExpr>...
Matcher<Stmt>;returnStmt;Matcher<ReturnStmt>...
Matcher<Stmt>;stmt;Matcher<Stmt>...
Matcher<Stmt>;stmtExpr;Matcher<StmtExpr>...
Matcher<Stmt>;stringLiteral;Matcher<StringLiteral>...
Matcher<Stmt>;substNonTypeTemplateParmExpr;Matcher<SubstNonTypeTemplateParmExpr>...
Matcher<Stmt>;switchCase;Matcher<SwitchCase>...
Matcher<Stmt>;switchStmt;Matcher<SwitchStmt>...
Matcher<Stmt>;unaryExprOrTypeTraitExpr;Matcher<UnaryExprOrTypeTraitExpr>...
Matcher<Stmt>;unaryOperator;Matcher<UnaryOperator>...
Matcher<Stmt>;unresolvedLookupExpr;Matcher<UnresolvedLookupExpr>...
Matcher<Stmt>;unresolvedMemberExpr;Matcher<UnresolvedMemberExpr>...
Matcher<Stmt>;userDefinedLiteral;Matcher<UserDefinedLiteral>...
Matcher<Stmt>;whileStmt;Matcher<WhileStmt>...
Matcher<TemplateArgumentLoc>;templateArgumentLoc;Matcher<TemplateArgumentLoc>...
Matcher<TemplateArgument>;templateArgument;Matcher<TemplateArgument>...
Matcher<TemplateName>;templateName;Matcher<TemplateName>...
Matcher<TypeLoc>;elaboratedTypeLoc;Matcher<ElaboratedTypeLoc>...
Matcher<TypeLoc>;pointerTypeLoc;Matcher<PointerTypeLoc>...
Matcher<TypeLoc>;qualifiedTypeLoc;Matcher<QualifiedTypeLoc>...
Matcher<TypeLoc>;referenceTypeLoc;Matcher<ReferenceTypeLoc>...
Matcher<TypeLoc>;templateSpecializationTypeLoc;Matcher<TemplateSpecializationTypeLoc>...
Matcher<TypeLoc>;typeLoc;Matcher<TypeLoc>...
Matcher<Type>;arrayType;Matcher<ArrayType>...
Matcher<Type>;atomicType;Matcher<AtomicType>...
Matcher<Type>;autoType;Matcher<AutoType>...
Matcher<Type>;blockPointerType;Matcher<BlockPointerType>...
Matcher<Type>;builtinType;Matcher<BuiltinType>...
Matcher<Type>;complexType;Matcher<ComplexType>...
Matcher<Type>;constantArrayType;Matcher<ConstantArrayType>...
Matcher<Type>;decayedType;Matcher<DecayedType>...
Matcher<Type>;decltypeType;Matcher<DecltypeType>...
Matcher<Type>;deducedTemplateSpecializationType;Matcher<DeducedTemplateSpecializationType>...
Matcher<Type>;dependentSizedArrayType;Matcher<DependentSizedArrayType>...
Matcher<Type>;elaboratedType;Matcher<ElaboratedType>...
Matcher<Type>;enumType;Matcher<EnumType>...
Matcher<Type>;functionProtoType;Matcher<FunctionProtoType>...
Matcher<Type>;functionType;Matcher<FunctionType>...
Matcher<Type>;incompleteArrayType;Matcher<IncompleteArrayType>...
Matcher<Type>;injectedClassNameType;Matcher<InjectedClassNameType>...
Matcher<Type>;lValueReferenceType;Matcher<LValueReferenceType>...
Matcher<Type>;memberPointerType;Matcher<MemberPointerType>...
Matcher<Type>;objcObjectPointerType;Matcher<ObjCObjectPointerType>...
Matcher<Type>;parenType;Matcher<ParenType>...
Matcher<Type>;pointerType;Matcher<PointerType>...
Matcher<Type>;rValueReferenceType;Matcher<RValueReferenceType>...
Matcher<Type>;recordType;Matcher<RecordType>...
Matcher<Type>;referenceType;Matcher<ReferenceType>...
Matcher<Type>;substTemplateTypeParmType;Matcher<SubstTemplateTypeParmType>...
Matcher<Type>;tagType;Matcher<TagType>...
Matcher<Type>;templateSpecializationType;Matcher<TemplateSpecializationType>...
Matcher<Type>;templateTypeParmType;Matcher<TemplateTypeParmType>...
Matcher<Type>;type;Matcher<Type>...
Matcher<Type>;typedefType;Matcher<TypedefType>...
Matcher<Type>;unaryTransformType;Matcher<UnaryTransformType>...
Matcher<Type>;usingType;Matcher<UsingType>...
Matcher<Type>;variableArrayType;Matcher<VariableArrayType>...
;
;;
Matcher<*>;allOf;Matcher<*>, ..., Matcher<*>
Matcher<*>;anyOf;Matcher<*>, ..., Matcher<*>
Matcher<*>;anything
unspecified;mapAnyOf;nodeMatcherFunction...
Matcher<*>;unless;Matcher<*>
Matcher<Attr>;isImplicit
Matcher<BinaryOperator>;hasAnyOperatorName;StringRef, ..., StringRef
Matcher<BinaryOperator>;hasOperatorName;std::string Name
Matcher<BinaryOperator>;isAssignmentOperator
Matcher<BinaryOperator>;isComparisonOperator
Matcher<CXXBaseSpecifier>;isPrivate
Matcher<CXXBaseSpecifier>;isProtected
Matcher<CXXBaseSpecifier>;isPublic
Matcher<CXXBaseSpecifier>;isVirtual
Matcher<CXXBoolLiteralExpr>;equals;bool Value
Matcher<CXXBoolLiteralExpr>;equals;const ValueT Value
Matcher<CXXBoolLiteralExpr>;equals;double Value
Matcher<CXXBoolLiteralExpr>;equals;unsigned Value
Matcher<CXXCatchStmt>;isCatchAll
Matcher<CXXConstructExpr>;argumentCountIs;unsigned N
Matcher<CXXConstructExpr>;isListInitialization
Matcher<CXXConstructExpr>;requiresZeroInitialization
Matcher<CXXConstructorDecl>;isCopyConstructor
Matcher<CXXConstructorDecl>;isDefaultConstructor
Matcher<CXXConstructorDecl>;isDelegatingConstructor
Matcher<CXXConstructorDecl>;isExplicit
Matcher<CXXConstructorDecl>;isInheritingConstructor
Matcher<CXXConstructorDecl>;isMoveConstructor
Matcher<CXXConversionDecl>;isExplicit
Matcher<CXXCtorInitializer>;isBaseInitializer
Matcher<CXXCtorInitializer>;isMemberInitializer
Matcher<CXXCtorInitializer>;isWritten
Matcher<CXXDeductionGuideDecl>;isExplicit
Matcher<CXXDependentScopeMemberExpr>;hasMemberName;std::string N
Matcher<CXXDependentScopeMemberExpr>;isArrow
Matcher<CXXDependentScopeMemberExpr>;memberHasSameNameAsBoundNode;std::string BindingID
Matcher<CXXMethodDecl>;isConst
Matcher<CXXMethodDecl>;isCopyAssignmentOperator
Matcher<CXXMethodDecl>;isFinal
Matcher<CXXMethodDecl>;isMoveAssignmentOperator
Matcher<CXXMethodDecl>;isOverride
Matcher<CXXMethodDecl>;isPure
Matcher<CXXMethodDecl>;isUserProvided
Matcher<CXXMethodDecl>;isVirtual
Matcher<CXXMethodDecl>;isVirtualAsWritten
Matcher<CXXNewExpr>;isArray
Matcher<CXXOperatorCallExpr>;hasAnyOperatorName;StringRef, ..., StringRef
Matcher<CXXOperatorCallExpr>;hasAnyOverloadedOperatorName;StringRef, ..., StringRef
Matcher<CXXOperatorCallExpr>;hasOperatorName;std::string Name
Matcher<CXXOperatorCallExpr>;hasOverloadedOperatorName;StringRef Name
Matcher<CXXOperatorCallExpr>;isAssignmentOperator
Matcher<CXXOperatorCallExpr>;isComparisonOperator
Matcher<CXXRecordDecl>;hasDefinition
Matcher<CXXRecordDecl>;isDerivedFrom;std::string BaseName
Matcher<CXXRecordDecl>;isDirectlyDerivedFrom;std::string BaseName
Matcher<CXXRecordDecl>;isExplicitTemplateSpecialization
Matcher<CXXRecordDecl>;isFinal
Matcher<CXXRecordDecl>;isLambda
Matcher<CXXRecordDecl>;isSameOrDerivedFrom;std::string BaseName
Matcher<CXXRecordDecl>;isTemplateInstantiation
Matcher<CXXRewrittenBinaryOperator>;hasAnyOperatorName;StringRef, ..., StringRef
Matcher<CXXRewrittenBinaryOperator>;hasOperatorName;std::string Name
Matcher<CXXRewrittenBinaryOperator>;isAssignmentOperator
Matcher<CXXRewrittenBinaryOperator>;isComparisonOperator
Matcher<CXXUnresolvedConstructExpr>;argumentCountIs;unsigned N
Matcher<CallExpr>;argumentCountIs;unsigned N
Matcher<CallExpr>;usesADL
Matcher<CastExpr>;hasCastKind;CastKind Kind
Matcher<CharacterLiteral>;equals;bool Value
Matcher<CharacterLiteral>;equals;const ValueT Value
Matcher<CharacterLiteral>;equals;double Value
Matcher<CharacterLiteral>;equals;unsigned Value
Matcher<ClassTemplateSpecializationDecl>;templateArgumentCountIs;unsigned N
Matcher<CompoundStmt>;statementCountIs;unsigned N
Matcher<ConstantArrayType>;hasSize;unsigned N
Matcher<DeclStmt>;declCountIs;unsigned N
Matcher<Decl>;equalsBoundNode;std::string ID
Matcher<Decl>;equalsNode;const Decl* Other
Matcher<Decl>;hasAttr;attr::Kind AttrKind
Matcher<Decl>;isExpandedFromMacro;std::string MacroName
Matcher<Decl>;isExpansionInFileMatching;StringRef RegExp, Regex::RegexFlags Flags = NoFlags
Matcher<Decl>;isExpansionInMainFile
Matcher<Decl>;isExpansionInSystemHeader
Matcher<Decl>;isImplicit
Matcher<Decl>;isInAnonymousNamespace
Matcher<Decl>;isInStdNamespace
Matcher<Decl>;isInstantiated
Matcher<Decl>;isPrivate
Matcher<Decl>;isProtected
Matcher<Decl>;isPublic
Matcher<DesignatedInitExpr>;designatorCountIs;unsigned N
Matcher<EnumDecl>;isScoped
Matcher<Expr>;isInstantiationDependent
Matcher<Expr>;isTypeDependent
Matcher<Expr>;isValueDependent
Matcher<Expr>;nullPointerConstant
Matcher<FieldDecl>;hasBitWidth;unsigned Width
Matcher<FieldDecl>;isBitField
Matcher<FloatingLiteral>;equals;const ValueT Value
Matcher<FloatingLiteral>;equals;double Value
Matcher<FunctionDecl>;hasAnyOverloadedOperatorName;StringRef, ..., StringRef
Matcher<FunctionDecl>;hasDynamicExceptionSpec
Matcher<FunctionDecl>;hasOverloadedOperatorName;StringRef Name
Matcher<FunctionDecl>;hasTrailingReturn
Matcher<FunctionDecl>;isConsteval
Matcher<FunctionDecl>;isConstexpr
Matcher<FunctionDecl>;isDefaulted
Matcher<FunctionDecl>;isDefinition
Matcher<FunctionDecl>;isDeleted
Matcher<FunctionDecl>;isExplicitTemplateSpecialization
Matcher<FunctionDecl>;isExternC
Matcher<FunctionDecl>;isInline
Matcher<FunctionDecl>;isMain
Matcher<FunctionDecl>;isNoReturn
Matcher<FunctionDecl>;isNoThrow
Matcher<FunctionDecl>;isStaticStorageClass
Matcher<FunctionDecl>;isTemplateInstantiation
Matcher<FunctionDecl>;isVariadic
Matcher<FunctionDecl>;isWeak
Matcher<FunctionDecl>;parameterCountIs;unsigned N
Matcher<FunctionProtoType>;hasDynamicExceptionSpec
Matcher<FunctionProtoType>;isNoThrow
Matcher<FunctionProtoType>;parameterCountIs;unsigned N
Matcher<IfStmt>;isConsteval
Matcher<IfStmt>;isConstexpr
Matcher<IntegerLiteral>;equals;bool Value
Matcher<IntegerLiteral>;equals;const ValueT Value
Matcher<IntegerLiteral>;equals;double Value
Matcher<IntegerLiteral>;equals;unsigned Value
Matcher<LambdaCapture>;capturesThis
Matcher<LambdaCapture>;isImplicit
Matcher<MemberExpr>;isArrow
Matcher<NamedDecl>;hasAnyName;StringRef, ..., StringRef
Matcher<NamedDecl>;hasExternalFormalLinkage
Matcher<NamedDecl>;hasName;StringRef Name
Matcher<NamedDecl>;matchesName;StringRef RegExp, Regex::RegexFlags Flags = NoFlags
Matcher<NamespaceDecl>;isAnonymous
Matcher<NamespaceDecl>;isInline
Matcher<OMPDefaultClause>;isFirstPrivateKind
Matcher<OMPDefaultClause>;isNoneKind
Matcher<OMPDefaultClause>;isPrivateKind
Matcher<OMPDefaultClause>;isSharedKind
Matcher<OMPExecutableDirective>;isAllowedToContainClauseKind;OpenMPClauseKind CKind
Matcher<OMPExecutableDirective>;isStandaloneDirective
Matcher<ObjCInterfaceDecl>;isDerivedFrom;std::string BaseName
Matcher<ObjCInterfaceDecl>;isDirectlyDerivedFrom;std::string BaseName
Matcher<ObjCInterfaceDecl>;isSameOrDerivedFrom;std::string BaseName
Matcher<ObjCMessageExpr>;argumentCountIs;unsigned N
Matcher<ObjCMessageExpr>;hasAnySelector;StringRef, ..., StringRef
Matcher<ObjCMessageExpr>;hasKeywordSelector
Matcher<ObjCMessageExpr>;hasNullSelector
Matcher<ObjCMessageExpr>;hasSelector;std::string BaseName
Matcher<ObjCMessageExpr>;hasUnarySelector
Matcher<ObjCMessageExpr>;isClassMessage
Matcher<ObjCMessageExpr>;isInstanceMessage
Matcher<ObjCMessageExpr>;matchesSelector;StringRef RegExp, Regex::RegexFlags Flags = NoFlags
Matcher<ObjCMessageExpr>;numSelectorArgs;unsigned N
Matcher<ObjCMethodDecl>;isClassMethod
Matcher<ObjCMethodDecl>;isDefinition
Matcher<ObjCMethodDecl>;isInstanceMethod
Matcher<ParmVarDecl>;hasDefaultArgument
Matcher<ParmVarDecl>;isAtPosition;unsigned N
Matcher<QualType>;asString;std::string Name
Matcher<QualType>;equalsBoundNode;std::string ID
Matcher<QualType>;hasLocalQualifiers
Matcher<QualType>;isAnyCharacter
Matcher<QualType>;isAnyPointer
Matcher<QualType>;isConstQualified
Matcher<QualType>;isInteger
Matcher<QualType>;isSignedInteger
Matcher<QualType>;isUnsignedInteger
Matcher<QualType>;isVolatileQualified
Matcher<Stmt>;equalsBoundNode;std::string ID
Matcher<Stmt>;equalsNode;const Stmt* Other
Matcher<Stmt>;isExpandedFromMacro;std::string MacroName
Matcher<Stmt>;isExpansionInFileMatching;StringRef RegExp, Regex::RegexFlags Flags = NoFlags
Matcher<Stmt>;isExpansionInMainFile
Matcher<Stmt>;isExpansionInSystemHeader
Matcher<Stmt>;isInTemplateInstantiation
Matcher<StringLiteral>;hasSize;unsigned N
Matcher<TagDecl>;isClass
Matcher<TagDecl>;isDefinition
Matcher<TagDecl>;isEnum
Matcher<TagDecl>;isStruct
Matcher<TagDecl>;isUnion
Matcher<TemplateArgument>;equalsIntegralValue;std::string Value
Matcher<TemplateArgument>;isIntegral
Matcher<TemplateSpecializationType>;templateArgumentCountIs;unsigned N
Matcher<TypeLoc>;isExpandedFromMacro;std::string MacroName
Matcher<TypeLoc>;isExpansionInFileMatching;StringRef RegExp, Regex::RegexFlags Flags = NoFlags
Matcher<TypeLoc>;isExpansionInMainFile
Matcher<TypeLoc>;isExpansionInSystemHeader
Matcher<Type>;booleanType
Matcher<Type>;equalsBoundNode;std::string ID
Matcher<Type>;equalsNode;const Type* Other
Matcher<Type>;realFloatingPointType
Matcher<Type>;voidType
Matcher<UnaryExprOrTypeTraitExpr>;ofKind;UnaryExprOrTypeTrait Kind
Matcher<UnaryOperator>;hasAnyOperatorName;StringRef, ..., StringRef
Matcher<UnaryOperator>;hasOperatorName;std::string Name
Matcher<UnresolvedMemberExpr>;isArrow
Matcher<VarDecl>;hasAutomaticStorageDuration
Matcher<VarDecl>;hasGlobalStorage
Matcher<VarDecl>;hasLocalStorage
Matcher<VarDecl>;hasStaticStorageDuration
Matcher<VarDecl>;hasThreadStorageDuration
Matcher<VarDecl>;isConstexpr
Matcher<VarDecl>;isConstinit
Matcher<VarDecl>;isDefinition
Matcher<VarDecl>;isExceptionVariable
Matcher<VarDecl>;isExplicitTemplateSpecialization
Matcher<VarDecl>;isExternC
Matcher<VarDecl>;isInitCapture
Matcher<VarDecl>;isInline
Matcher<VarDecl>;isStaticLocal
Matcher<VarDecl>;isStaticStorageClass
Matcher<VarDecl>;isTemplateInstantiation


Matcher<*>;binaryOperation;Matcher<*>...Matcher<*>
Matcher<*>;eachOf;Matcher<*>, ..., Matcher<*>
Matcher<*>;findAll;Matcher<*> Matcher
Matcher<*>;forEachDescendant;Matcher<*>
Matcher<*>;forEach;Matcher<*>
Matcher<*>;hasAncestor;Matcher<*>
Matcher<*>;hasDescendant;Matcher<*>
Matcher<*>;has;Matcher<*>
Matcher<*>;hasParent;Matcher<*>
Matcher<*>;invocation;Matcher<*>...Matcher<*>
Matcher<*>;optionally;Matcher<*>
Matcher<*>;traverse;TraversalKind TK, Matcher<*> InnerMatcher
Matcher<AbstractConditionalOperator>;hasCondition;Matcher<Expr> InnerMatcher
Matcher<AbstractConditionalOperator>;hasFalseExpression;Matcher<Expr> InnerMatcher
Matcher<AbstractConditionalOperator>;hasTrueExpression;Matcher<Expr> InnerMatcher
Matcher<AddrLabelExpr>;hasDeclaration;Matcher<Decl> InnerMatcher
Matcher<ArraySubscriptExpr>;hasBase;Matcher<Expr> InnerMatcher
Matcher<ArraySubscriptExpr>;hasIndex;Matcher<Expr> InnerMatcher
Matcher<ArraySubscriptExpr>;hasLHS;Matcher<Expr> InnerMatcher
Matcher<ArraySubscriptExpr>;hasRHS;Matcher<Expr> InnerMatcher
Matcher<ArrayType>;hasElementType;Matcher<Type>
Matcher<AtomicType>;hasValueType;Matcher<Type>
Matcher<AutoType>;hasDeducedType;Matcher<Type>
Matcher<BaseUsingDecl>;hasAnyUsingShadowDecl;Matcher<UsingShadowDecl> InnerMatcher
Matcher<BinaryOperator>;hasEitherOperand;Matcher<Expr> InnerMatcher
Matcher<BinaryOperator>;hasLHS;Matcher<Expr> InnerMatcher
Matcher<BinaryOperator>;hasOperands;Matcher<Expr> Matcher1, Matcher<Expr> Matcher2
Matcher<BinaryOperator>;hasRHS;Matcher<Expr> InnerMatcher
